"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7226129420561761066""","","=""6999820788908131333""","lingogrand","LingoGrande","Not very convincing. They're just using standing water.","26/04/2023, 01:13:07","5914","No","98","No","https://www.tiktok.com/@lingogrand"
"=""7282015860801782574""","=""7226129420561761066""","=""6941845568256787462""","jjr8388","JJR8388","Okay we’re they supposed to have running water then? You’re a moron","23/09/2023, 15:41:21","67","No","","","https://www.tiktok.com/@jjr8388"
"=""7231230005345583898""","=""7226129420561761066""","=""6813612024858592261""","ambraosadiaye","Ambra Osadiaye","ong","09/05/2023, 19:05:58","1","No","","","https://www.tiktok.com/@ambraosadiaye"
"=""7226142162878366507""","=""7226129420561761066""","=""6973910440767276038""","ryan_loveshistory","Ryan","How ill informed are you? They had plenty of soap. And even hair care routines.","26/04/2023, 02:02:30","253","No","","","https://www.tiktok.com/@ryan_loveshistory"
"=""7226163737446499115""","=""7226129420561761066""","=""6999820788908131333""","lingogrand","LingoGrande","She didn't say that in the video. And you still want running water.","26/04/2023, 03:26:07","18","No","","","https://www.tiktok.com/@lingogrand"
"=""7226164053328741166""","=""7226129420561761066""","=""6973910440767276038""","ryan_loveshistory","Ryan","But this person was acting like they knew for a fact that they smelled bad. Even dropping disinformation.","26/04/2023, 03:27:20","46","No","","","https://www.tiktok.com/@ryan_loveshistory"
"=""7226164124825158446""","=""7226129420561761066""","=""6973910440767276038""","ryan_loveshistory","Ryan","And they had running water in the later half of the century.","26/04/2023, 03:27:41","54","No","","","https://www.tiktok.com/@ryan_loveshistory"
"=""7226416696076075819""","=""7226129420561761066""","=""6806421235086754821""","themanyes","Jessisgirl","They “washed” their hair with eggs how “clean” do u think that hair is? 💀","26/04/2023, 19:48:04","15","No","","","https://www.tiktok.com/@themanyes"
"=""7226689862366970629""","=""7226129420561761066""","=""7001197911213081606""","nxniuyxklo64","💢","that was before the 19th century","27/04/2023, 13:27:42","15","No","","","https://www.tiktok.com/@nxniuyxklo64"
"=""7226709502916854570""","=""7226129420561761066""","=""6806421235086754821""","themanyes","Jessisgirl","She literally does it in this video why r u lying? 💀 it’s literally titled VICTORIAN hair care","27/04/2023, 14:44:20","5","No","","","https://www.tiktok.com/@themanyes"
"=""7227286801974493995""","=""7226129420561761066""","=""7104767901127738411""","z03s_cupid","Zoe🫶🏻","SHE shouldn’t be ur main source of history","29/04/2023, 04:04:17","3","No","","","https://www.tiktok.com/@z03s_cupid"
"=""7227298027382539050""","=""7226129420561761066""","=""6999820788908131333""","lingogrand","LingoGrande","Exactly which is why im disagreeing with her...","29/04/2023, 04:47:46","0","No","","","https://www.tiktok.com/@lingogrand"
"=""7227341815069672219""","=""7226129420561761066""","=""6959280579636986886""","mad_jack99","Mad_Jack99","true but most sources do show a good level of hygiene throughout the victorian period.","29/04/2023, 07:38:01","6","No","","","https://www.tiktok.com/@mad_jack99"
